MovieID,rating_count,avg_rating
4821,5,3.1
3858,5,3.5
2275,5,3.6
27020,5,3.4
2888,5,2.1
117851,5,3.7
4464,5,3.6
5450,5,3.2
26131,5,4.3
68073,5,3.4
334,5,4.2
4465,5,3.7
3553,5,2.4
5434,5,3.8
1043,5,2.4
101025,5,2.2
104243,5,3.3
1487,5,3.0
140928,5,3.2
58105,5,3.4
6460,5,4.9
1192,5,4.5
422,5,3.2
3764,5,2.3
5081,5,2.8
6538,5,3.6
78039,5,2.8
59126,5,3.8
64,5,2.2
27839,5,2.3
5092,5,3.0
33158,5,2.0
3529,5,3.5
4372,5,3.4
2252,5,2.5
2654,5,3.6
71518,5,3.1
2188,5,2.0
4814,5,2.5
85056,5,3.1
5632,5,3.6
2017,5,3.1
45662,5,2.3
26729,5,3.8
112818,5,3.3
3723,5,3.8
7983,5,4.2
7117,5,2.3
4104,5,1.4
6663,5,3.4
5874,5,2.4
8266,5,2.7
3327,5,3.7
3506,5,3.0
343,5,2.9
813,5,2.8
8607,5,3.9
3682,5,3.7
92938,5,1.6
2570,5,3.2
8372,5,2.3
91653,5,3.3
138210,5,3.3
3726,5,3.6
169984,5,2.8
1919,5,2.5
77800,5,4.0
973,5,3.9
4086,5,3.5
3251,5,3.7
2263,5,2.8
3548,5,3.7
2303,5,3.6
56805,5,3.3
71,5,1.7
1783,5,2.8
66785,5,3.8
458,5,2.8
7649,5,2.8
5665,5,2.5
697,5,2.7
7018,5,3.9
73323,5,4.2
4267,5,3.4
3153,5,4.4
3672,5,3.8
3310,5,4.1
104218,5,3.4
390,5,3.7
158966,5,4.5
5027,5,3.0
656,5,3.0
2377,5,2.5
39435,5,2.9
1006,5,3.5
4526,5,3.1
118900,5,2.9
3724,5,3.3
3946,5,2.5
2866,5,3.6
95449,5,2.7
7320,5,3.4
2206,5,4.0
34334,5,2.5
26242,5,3.2
6025,5,2.9
7115,5,2.6
120635,5,2.7
3221,5,3.7
44709,5,3.8
7698,5,3.7
1016,5,2.9
2077,5,3.4
4867,5,3.1
619,5,2.6
302,5,3.2
4971,5,3.1
453,5,2.8
42718,5,3.8
75,5,2.2
31364,5,4.7
4030,5,1.8
54648,5,2.7
26152,5,3.0
4021,5,4.3
1554,5,2.4
42632,5,4.0
1633,5,4.0
101525,5,3.5
93721,5,4.1
6777,5,3.6
5628,5,3.5
3864,5,2.1
90600,5,3.6
117881,5,3.8
6832,5,3.6
5107,5,3.1
65130,5,3.7
3038,5,4.2
3115,5,4.0
55577,5,3.2
113453,5,3.1
1130,5,2.9
47950,5,3.2
2106,5,3.7
171011,5,4.2
5480,5,2.6
1611,5,4.1
27822,5,2.7
6811,5,2.5
2925,5,4.1
6666,5,4.3
7700,5,3.3
3182,5,4.0
94953,5,3.0
26680,5,3.8
3871,5,3.9
54281,5,3.5
32291,5,3.1
1128,5,2.5
1187,5,3.6
83803,5,4.1
27592,5,3.8
2163,5,2.2
3599,5,3.2
68,5,3.4
2290,5,3.6
1785,5,3.9
69134,5,3.8
2498,5,2.1
4231,5,3.5
7027,5,3.2
102,5,2.4
39449,5,2.6
6794,5,1.5
2287,5,3.8
4275,5,2.9
2810,5,4.2
183897,5,3.5
2491,5,3.6
103810,5,3.2
4900,5,3.0
71379,5,3.4
66371,5,4.1
1468,5,2.6
47423,5,4.0
187595,5,3.9
4356,5,3.8
128520,5,3.8
4735,5,2.6
33903,5,4.0
102033,5,3.2
891,5,3.8
4915,5,2.8
6810,5,2.5
1762,5,2.3
1667,5,2.1
8157,5,3.5
67997,5,4.3
3538,5,3.2
113378,5,2.3
161634,5,3.3
270,5,3.4
49824,5,3.1
7845,5,2.7
118997,5,2.8
63853,5,3.2
190,5,2.8
103235,5,4.0
70599,5,3.9
4990,5,3.2
27156,5,4.3
81417,5,3.7
2084,5,2.7
5909,5,3.3
1442,5,3.5
8253,5,3.4
725,5,2.5
8870,5,2.5
86781,5,4.4
91323,5,2.9
62250,5,3.7
3545,5,3.0
3690,5,2.0
73319,5,2.4
2356,5,2.6
2922,5,3.6
112788,5,2.6
3840,5,2.4
9010,5,4.1
4406,5,4.4
26258,5,3.9
6724,5,3.6
1399,5,3.1
45928,5,3.7
2073,5,3.6
1973,5,2.2
1755,5,4.1
2670,5,3.6
74868,5,3.0
41863,5,4.0
43921,5,3.3
1264,5,3.8
37739,5,3.3
1363,5,3.5
100163,5,2.9
93272,5,3.1
1983,5,2.4
1050,5,3.9
242,5,3.6
1582,5,2.6
5451,5,3.0
2266,5,3.1
61236,5,3.0
3557,5,2.9
66509,5,3.5
3169,5,3.3
40414,5,3.7
64285,5,3.7
91974,5,3.8
2736,5,3.6
2170,5,2.4
259,5,3.2
39400,5,2.1
6370,5,4.0
110127,5,2.8
1643,5,3.8
4241,5,2.1
2070,5,3.4
3525,5,2.9
4304,5,3.6
6014,5,2.5
60037,5,3.0
1034,5,3.1
6975,5,3.2
8796,5,3.1
42418,5,3.2
60514,5,2.5
116,5,3.9
73023,5,4.1
7008,5,4.5
4265,5,3.0
42728,5,3.6
550,5,3.4
3632,5,4.0
5876,5,3.9
1014,5,2.9
85401,5,2.9
74532,5,2.5
32898,5,3.5
95858,5,3.9
4544,5,2.9
4383,5,3.5
3342,5,3.5
3286,5,2.3
3425,5,3.4
79553,5,3.0
156609,5,2.6
4334,5,4.6
128620,5,3.9
4509,5,2.9
6985,5,3.9
6951,5,2.1
175569,5,3.4
4591,5,3.0
3130,5,2.4
5080,5,2.6
27912,5,3.3
90890,5,2.3
5804,5,2.3
4846,5,3.5
122902,5,2.1
5796,5,2.5
580,5,2.8
4220,5,3.4
6887,5,4.1
6624,5,1.9
1993,5,1.8
3401,5,2.2
1395,5,3.0
73266,5,3.0
4234,5,3.2
5666,5,3.6
98585,5,3.5
78349,5,3.8
3528,5,3.4
165549,5,2.9
56921,5,3.8
87483,5,2.7
7044,5,3.8
6686,5,2.7
6702,5,2.3
43904,5,1.3
26903,5,3.8
51931,5,4.1
26084,5,3.9
3501,5,2.3
6791,5,4.4
469,5,3.4
86504,5,4.3
5548,5,3.0
60487,5,3.8
3470,5,4.3
44828,5,3.0
2883,5,3.2
3045,5,3.6
51575,5,2.3
2769,5,3.4
180985,5,3.0
71106,5,3.6
2429,5,2.8
1366,5,3.9
168418,5,3.8
5993,5,2.9
8387,5,0.8
2961,5,2.4
6301,5,4.0
2937,5,4.1
1703,5,2.9
34542,5,3.7
1306,5,2.7
340,5,3.4
2382,5,2.5
72605,5,3.5
2732,5,4.5
1498,5,3.0
55814,5,4.1
5570,5,3.9
96417,5,3.2
65685,5,3.5
8604,5,3.2
8827,5,4.0
4474,5,2.9
5298,5,3.5
881,5,2.1
71135,5,3.4
4921,5,4.0
990,5,2.9
6713,5,3.8
2618,5,3.4
8128,5,4.1
3992,5,3.7
