MovieID,rating_count,avg_rating
543,41,3.317073170731707
57669,41,4.158536585365853
7373,41,3.3780487804878048
55247,41,3.902439024390244
45517,41,3.3780487804878048
3617,41,3.0853658536585367
4299,41,3.341463414634146
2968,41,3.731707317073171
122886,41,3.8536585365853657
494,41,3.3780487804878048
1285,41,3.731707317073171
1242,41,4.170731707317073
762,41,2.4146341463414633
3916,41,3.7439024390243905
3418,41,3.4634146341463414
2087,41,3.573170731707317
5810,41,3.292682926829268
2003,41,3.3780487804878048
115617,41,3.8536585365853657
33615,40,3.375
44199,40,3.8
282,40,3.3375
1032,40,3.375
1569,40,3.5
6807,40,3.95
41569,40,3.4
1228,40,4.1875
224,40,3.6125
376,40,3.25
98809,40,3.8125
471,40,3.55
1674,40,3.65
4367,40,2.9
2541,40,3.225
3703,40,4.0375
31658,40,4.075
6218,40,3.3
1233,40,4.2125
529,40,3.875
4223,40,3.5125
2193,40,3.3375
