MovieID,rating_count,avg_rating
272,31,3.7580645161290325
2953,31,2.5161290322580645
724,31,3.032258064516129
1805,31,3.0161290322580645
3386,31,3.5
1747,31,3.338709677419355
4701,31,3.370967741935484
108932,31,3.870967741935484
1405,31,2.935483870967742
34319,31,3.3548387096774195
46723,31,3.5
4446,31,3.3548387096774195
72641,31,3.6774193548387095
139385,31,3.903225806451613
5630,31,3.435483870967742
1566,31,3.4516129032258065
61024,31,3.6774193548387095
135,31,2.9516129032258065
88163,31,3.9838709677419355
110102,31,3.7419354838709675
3256,31,3.5161290322580645
97938,31,3.629032258064516
1587,31,3.2580645161290325
2064,31,3.838709677419355
4890,31,3.032258064516129
65,31,2.532258064516129
4321,31,3.370967741935484
3006,31,3.7419354838709675
1717,31,2.9193548387096775
2058,30,3.35
2423,30,3.566666666666667
348,30,3.5833333333333335
38038,30,3.6333333333333333
5219,30,3.0833333333333335
84152,30,3.95
2403,30,3.55
2871,30,3.9
7022,30,3.933333333333333
95510,30,3.25
1267,30,4.25
1271,30,3.5
56757,30,3.716666666666667
97921,30,3.716666666666667
204,30,2.716666666666667
2501,30,3.75
1479,30,3.216666666666667
838,30,3.9166666666666665
111362,30,3.8333333333333335
95167,30,3.466666666666667
915,30,3.7666666666666666
1373,30,2.6666666666666665
